Text,Original_sentiment,Sentiment_OpenAI,Tokens_OpenAI,Sentiment_LLMLingua,Tokens_LLMLingua
i checked. we didn`t win,neutral,negative,12,negative,1
"sitting here, waiting to go to the gym.....almost left, then realized i never charged my ipod from my trip to wisconsin....it`s dead",neutral,Negative,29,Negative,1
i feel sorry for my bestie good luck ali!,neutral,positive,16,positive,1
airsoft is so much fun! i play with my brothers and it`s a great bonding experience.,positive,Positive,23,Positive,1
alice doesn`t know what to wear to the cinema <3,negative,Neutral,17,Neutral,1
sad that david is leaving tomoro. for a week.,negative,negative,16,negative,1
yeah yesterday i turned 16. my parents rented me out a hummer limo. it was pretty cool,positive,Positive,24,positive,1
wake~n~bake monday,neutral,neutral,9,Neutral,1
let`s go!,neutral,positive,9,Positive,1
i considered being a nurse when i was younger but i really don`t think i could cope if a baby died,negative,negative,28,negative,1
"really tired. and have to work the whole day tomorrow, the thought of it depresses me. uncoooool....",negative,Negative,24,negative,1
going to work,neutral,neutral,10,neutral,1
the mediteranian kitchen...oh well can`t get them all right.,neutral,Neutral,16,Negative,1
making german apple slice nom nom nom,positive,positive,14,Positive,1
_90 haha agreed lol,positive,Neutral,11,Positive,1
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive,Positive,27,positive,1
"sadly, i can`t view that site due to region restrictions",negative,negative,17,negative,1
after 11 months....back to twitter again,neutral,Neutral,13,positive,1
he`s an amazing jockey! saw that clydesdale commercial too..loved it!,positive,Positive,17,Positive,1
off to work i go,neutral,Neutral,12,neutral,1
"if you had owned an *actual* cellphone, that would have been video, and called a 'qik'",neutral,Neutral,23,Negative,1
watching gilmore girls reruns!! don`t know what else to do for the day,neutral,Positive,20,Positive,1
yes because those taxes disguise the booking fees and commissions that online travel portals charge. try ixigo.com next time,neutral,Neutral,26,Neutral,1
i`m concerned for that family,positive,negative,12,negative,1
good morning from rsa twitterverse!! please send me some happy vibes & cheerfulness today i`m feeling a little sad,neutral,Neutral,26,positive,1
well that propels people to change direction. no point wasting your days on something you lost the passion for.,negative,positive,26,negative,1
where r all the 5am tweets from people...oh that`s right...they opened the #houseofrock last night so they`re still in bed,neutral,negative,27,Negative,1
farewelling an employee tonight...,neutral,neutral,11,neutral,1
tiiiired but i cant sleep,negative,negative,12,Negative,1
"hey bud, we just shot you an email",neutral,Neutral,15,neutral,1
trying to find someone to go to the mall with.,neutral,Neutral,17,neutral,1
sadly brother told me there are no skateparks where he lives. bummer!,negative,negative,19,negative,1
now i have a sunburn,negative,negative,12,negative,1
listening to busted - 3am. i miss them,negative,positive,15,positive,1
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it! ****,negative,Negative,26,Negative,1
i so wish i could get pregnant!!,positive,positive,14,positive,1
might have broken text messages.,negative,Neutral,12,Negative,1
is it the bit where hollie started crying?,neutral,Neutral,15,neutral,1
u don`t have school today????,neutral,neutral,12,neutral,1
"grr. we are only allowed gas grills where i live, it sucks.",negative,Negative,19,negative,1
chillen trying to figure this thing out gettin drunk,positive,Negative,16,negative,1
just finished yet another amazing book by susan elizabeth philips!!! god i love her books so much!!! which one to read next??? hmmm...,positive,Positive,30,positive,1
awhile ago it freaking hot! now it`s wet turn off!,negative,Negative,17,negative,1
i still have an hour.,neutral,neutral,12,neutral,1
what up? why no tweets. are you also filming in a place w/ no signal? .hmmm.,neutral,Neutral,23,Neutral,1
"home for the nite, sleeping on the pull out bed with maggie. wishing it was _durden i got to find a apt",neutral,Neutral,29,negative,1
great! i`m glad you enjoy them i hope you have a great day,positive,Positive,20,Positive,1
up late with nothin 2 do.....,neutral,negative,13,neutral,1
jus got back from a run up sunset blvd! my cuzin tried to kill me my legs are still movin and i`m sittin down!!,negative,Negative,31,Negative,1
"100,000 / 60 = 1667 words/day. 1667 / 10 = 167 words/hour. 167 / 60 = 2.8 words/minute. no pressure.",positive,Neutral,27,Neutral,1
out for ultimate training. looking forward to the sunset!,positive,Positive,16,Positive,1
we shuld do a dance like that its seriously the best thing haha. see yu tomoro.,positive,Positive,23,positive,1
"haha lol no one is effing cool as you, you got the wu-tang and p.e. t-shirts! you are gorgeous + represent at the same time",positive,Positive,32,Positive,1
"i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol. haven`t been online much",neutral,Neutral,29,Neutral,1
downing a glass of ginger ale and then relishing an early evening in bed with 'because i said so' on lifetime.,neutral,Positive,28,Positive,1
